acc,precision,recall,f1_score,loss
0.2810271041369472,0.2985515325292111,0.2871750543828466,0.23912294276240326,3.5572727999903937
0.47075606276747506,0.4197240767252681,0.4793581238386433,0.410204077143432,2.8130900385704907
0.5420827389443652,0.5260647936970346,0.5476781155352586,0.4952854868405399,2.343286484479904
0.6176890156918687,0.5972007529102136,0.616693227407513,0.5880177047247828,1.949739738621495
0.6590584878744651,0.6441062184568678,0.6627541650268922,0.6350988908162009,1.687854026528922
0.703281027104137,0.680230069353446,0.7043917842619142,0.6786676132737199,1.471955145624551
0.7161198288159771,0.7052043194900339,0.7144576563407732,0.696463704285391,1.3292969607494094
0.7360912981455064,0.7309442001000442,0.7344193324712807,0.7221832496650121,1.247238520363515
0.7360912981455064,0.7255326924158093,0.7344127733738123,0.7197950443895695,1.1757829277352854
0.7517831669044223,0.7420062621361321,0.7492616330278667,0.7357176985696319,1.167906186289408
0.7475035663338089,0.7394253653993912,0.7477825565487903,0.7337073393747134,1.1405382738025351
0.7360912981455064,0.726642089342624,0.7361565562864264,0.7236288837158138,1.1597335076975552
0.7532097004279601,0.7332879962750092,0.7549151065384831,0.7349311483628109,1.1523496784608473
0.7417974322396577,0.7381128071063136,0.7423150803020931,0.7247333390607325,1.2020436955446547
0.7403708987161198,0.7338394289692991,0.7385272015142145,0.726752008751678,1.215659725500948
0.7503566333808844,0.7554842343803383,0.7519878750398232,0.7401425600402832,1.1919969859829342
0.7446504992867332,0.7366486327525289,0.7448862465096232,0.7301797215184718,1.228821844539859
0.7446504992867332,0.749614887277225,0.7429794231742284,0.7316462904678694,1.2423630409281363
0.7417974322396577,0.7424780126078827,0.7405797305147954,0.7287280319233533,1.261410373368893
0.7489300998573466,0.7440644132202574,0.7476696463709451,0.735536153771875,1.28152351828546
